Time (s),Sensor 1 - Short Channel
8.084695100784302,2485
8.094687938690186,2346
8.104854106903076,2514
8.114794969558716,2389
8.12481689453125,2455
8.134786128997803,2677
8.144760131835938,2353
8.154719114303589,2617
8.16468095779419,2489
8.174712181091309,2426
8.18464207649231,2629
8.194642066955566,2223
8.204384088516235,2525
8.214338064193726,2409
8.22433590888977,2401
8.235001802444458,2665
8.244415044784546,2168
8.254420042037964,2629
8.264464855194092,2424
8.274438858032227,2421
8.28410291671753,2666
8.294080018997192,2271
8.304220914840698,2624
8.314293146133423,2439
8.323994874954224,2521
8.334715843200684,2608
8.344084024429321,2228
8.35404109954834,2704
8.364099025726318,2472
8.374112129211426,2532
8.38427186012268,2692
8.393733978271484,2316
8.403708934783936,2606
8.413709163665771,2500
8.423693180084229,2556
8.436292886734009,2605
8.443714141845703,2386
8.453618049621582,2653
8.463629007339478,2438
8.473806858062744,2481
8.484100818634033,2586
8.493827104568481,2325
8.503752946853638,2622
8.513767957687378,2408
8.523675918579102,2517
8.53350305557251,2577
8.543360948562622,2315
8.55351710319519,2680
8.563435077667236,2356
8.57328486442566,2482
8.584090948104858,2486
8.593047142028809,2288
8.603074073791504,2624
8.613041877746582,2344
8.623129844665527,2504
8.633019924163818,2552
8.642900943756104,2309
8.65291714668274,2710
8.663012981414795,2345
8.673113822937012,2572
8.682851076126099,2593
8.692867040634155,2398
8.70294713973999,2627
8.71294116973877,2336
8.7225821018219,2478
8.7325279712677,2500
8.742495059967041,2239
8.752567052841187,2543
8.762761116027832,2094
8.77266788482666,2131
8.782724142074585,2099
8.79281210899353,1823
8.802916049957275,2067
8.812440156936646,1720
8.822623014450073,1989
8.836909055709839,1919
8.842981815338135,1963
8.853088140487671,2171
8.862297058105469,1995
8.872293949127197,2292
8.882277011871338,2210
8.892228841781616,2273
8.940850019454956,2404
8.941363096237183,2223
8.941561222076416,2403
8.941679954528809,2356
8.94221806526184,2315
8.952270984649658,2504
8.96183705329895,2184
8.971979141235352,2447
8.982184886932373,2428
8.991760015487671,2281
9.001662015914917,2652
9.011610984802246,2331
9.021581172943115,2468
9.031604051589966,2436
9.041586875915527,2333
9.051516056060791,2606
9.061481952667236,2196
9.071452856063843,2485
9.08151912689209,2324
9.091665983200073,2297
9.10158896446228,2565
9.111268997192383,2067
9.121291160583496,2493
9.131256103515625,2345
9.141222953796387,2364
9.151193857192993,2554
9.161159992218018,2194
9.17112398147583,2621
9.181372880935669,2436
9.191279172897339,2423
